locale,slug,primary_keyword,intent,country,cluster,status
ru,prodavat-onlayn-bez-sayta,kak prodavat onlayn bez sayta,informational,RU,selling-channels,claimed
ru,priyom-oplaty-perevodom,kak prinimat oplatu perevodom,informational,RU,getting-paid,claimed
ru,nalozhennyy-platyozh,nalozhennyy platyozh dlya prodavtsa,informational,RU,getting-paid,claimed
ru,raschyot-dostavki,kak rasschitat dostavku,informational,RU,shipping,claimed
ru,foto-tovara-na-telefon,foto tovara na telefon,informational,RU,product-craft,claimed
ru,pervyye-zakazy-onlayn,kak poluchit pervyye zakazy,informational,RU,growth,claimed
nl,online-verkopen-zonder-website,online verkopen zonder website,informational,NL,selling-channels,claimed
nl,betaling-via-overboeking,betaling via overboeking ontvangen,informational,NL,getting-paid,claimed
nl,verzendkosten-berekenen,verzendkosten berekenen webshop,informational,NL,shipping,claimed
nl,productfotos-met-je-telefoon,productfotos met telefoon,informational,NL,product-craft,claimed
nl,je-eerste-bestellingen,eerste bestellingen online krijgen,informational,NL,growth,claimed
nl,marktplaats-of-eigen-winkel,marktplaats of eigen webshop,informational,NL,comparisons,claimed
uk,prodavaty-onlayn-bez-saytu,yak prodavaty onlayn bez saytu,informational,UA,selling-channels,claimed
uk,oplata-perekazom,yak pryimaty oplatu perekazom,informational,UA,getting-paid,claimed
uk,nova-poshta-dlya-prodavtsya,nova poshta dlya prodavtsya,informational,UA,shipping,claimed
uk,rozrakhunok-dostavky,yak rozrakhuvaty dostavku,informational,UA,shipping,claimed
uk,foto-tovaru-na-telefon,foto tovaru na telefon,informational,UA,product-craft,claimed
uk,pershi-zamovlennya,yak otrymaty pershi zamovlennya,informational,UA,growth,claimed
ja,selling-online-without-a-website-japan,website nashi de online hanbai,informational,JP,selling-channels,claimed
ja,taking-bank-transfer-in-japan,ginko furikomi de uketoru,informational,JP,getting-paid,claimed
ja,konbini-and-daibiki-payment,daibiki konbini barai hanbai,informational,JP,getting-paid,claimed
ja,shipping-costs-in-japan,soryo keisan hanbai,informational,JP,shipping,claimed
ja,product-photos-japan,shohin shashin sumaho,informational,JP,product-craft,claimed
ja,first-orders-in-japan,hajimete no chuumon,informational,JP,growth,claimed
ko,selling-online-without-a-website-korea,website eopsi onrain panmae,informational,KR,selling-channels,claimed
ko,taking-bank-transfer-in-korea,gyejwa ibgeum badgi panmae,informational,KR,getting-paid,claimed
ko,kakaotalk-for-sellers,kakaotalk panmae juvun,informational,KR,selling-channels,claimed
ko,shipping-costs-in-korea,baesongbi gyesan,informational,KR,shipping,claimed
ko,product-photos-korea,sangpum sajin hyudaepon,informational,KR,product-craft,claimed
ko,first-orders-in-korea,cheot jumun batgi,informational,KR,growth,claimed
zh,selling-online-without-a-website-chinese,wu wangzhan wangshang maidong,informational,CN,selling-channels,claimed
zh,taking-bank-transfer-chinese-sellers,yinhang zhuanzhang shoukuan,informational,CN,getting-paid,claimed
zh,wechat-selling-for-small-sellers,weixin maidong xiaoshangjia,informational,CN,selling-channels,claimed
zh,shipping-costs-chinese-sellers,yunfei jisuan,informational,CN,shipping,claimed
zh,product-photos-chinese-buyers,chanpin zhaopian shouji,informational,CN,product-craft,claimed
zh,first-orders-chinese-sellers,diyi bi dingdan,informational,CN,growth,claimed
ro,vinde-online-fara-site,cum sa vinzi online fara site,informational,RO,selling-channels,claimed
ro,plata-prin-transfer-bancar,cum sa primesti plata prin transfer,informational,RO,getting-paid,claimed
ro,ramburs-pentru-vanzatori,plata ramburs pentru vanzatori,informational,RO,getting-paid,claimed
ro,calculul-costurilor-de-livrare,cum calculezi costul livrarii,informational,RO,shipping,claimed
ro,poze-de-produs-cu-telefonul,poze de produs cu telefonul,informational,RO,product-craft,claimed
ro,primele-comenzi-online,cum obtii primele comenzi,informational,RO,growth,claimed
bg,prodavane-onlayn-bez-sayt,prodavane onlayn bez sayt,informational,BG,selling-channels,claimed
bg,plashtane-s-bankov-prevod,plashtane s bankov prevod,informational,BG,getting-paid,claimed
bg,nalozhen-platezh,nalozhen platezh,informational,BG,shipping,claimed
bs,prodaja-online-bez-web-stranice,prodaja online bez web stranice,informational,BA,selling-channels,claimed
bs,placanje-bankovnim-prijenosom,placanje bankovnim prijenosom,informational,BA,getting-paid,claimed
bs,pouzecem-za-prodavce,pouzecem za prodavce,informational,BA,shipping,claimed
cs,prodej-online-bez-webu,prodej online bez webu,informational,CZ,selling-channels,claimed
cs,platba-prevodem,platba prevodem,informational,CZ,getting-paid,claimed
cs,dobirka-pro-prodejce,dobirka pro prodejce,informational,CZ,shipping,claimed
da,saelg-online-uden-hjemmeside,saelg online uden hjemmeside,informational,DK,selling-channels,claimed
da,betaling-via-bankoverfoersel,betaling via bankoverfoersel,informational,DK,getting-paid,claimed
da,fragtpriser-for-smaa-saelgere,fragtpriser for smaa saelgere,informational,DK,shipping,claimed
el,polisi-online-choris-istoselida,polisi online choris istoselida,informational,GR,selling-channels,claimed
el,pliromi-me-trapeziki-katathesi,pliromi me trapeziki katathesi,informational,GR,getting-paid,claimed
el,antikatavoli-gia-polites,antikatavoli gia polites,informational,GR,shipping,claimed
fi,myy-verkossa-ilman-verkkosivua,myy verkossa ilman verkkosivua,informational,FI,selling-channels,claimed
fi,maksu-tilisiirtona,maksu tilisiirtona,informational,FI,getting-paid,claimed
fi,toimituskulut-pienelle-myyjalle,toimituskulut pienelle myyjalle,informational,FI,shipping,claimed
hr,prodaja-na-internetu-bez-stranice,prodaja na internetu bez stranice,informational,HR,selling-channels,claimed
hr,placanje-bankovnom-uplatom,placanje bankovnom uplatom,informational,HR,getting-paid,claimed
hr,pouzecem-za-male-prodavace,pouzecem za male prodavace,informational,HR,shipping,claimed
hu,eladas-online-weboldal-nelkul,eladas online weboldal nelkul,informational,HU,selling-channels,claimed
hu,fizetes-atutalassal,fizetes atutalassal,informational,HU,getting-paid,claimed
hu,utanvet-kis-eladoknak,utanvet kis eladoknak,informational,HU,shipping,claimed
mk,prodazba-onlajn-bez-veb-stranica,prodazba onlajn bez veb stranica,informational,MK,selling-channels,claimed
mk,plakjanje-so-banka,plakjanje so banka,informational,MK,getting-paid,claimed
mk,isporaka-so-plakjanje,isporaka so plakjanje,informational,MK,shipping,claimed
no,selg-pa-nett-uten-nettside,selg pa nett uten nettside,informational,NO,selling-channels,claimed
no,betaling-med-bankoverfoering,betaling med bankoverfoering,informational,NO,getting-paid,claimed
no,fraktpriser-for-smaa-selgere,fraktpriser for smaa selgere,informational,NO,shipping,claimed
sl,prodaja-na-spletu-brez-strani,prodaja na spletu brez strani,informational,SI,selling-channels,claimed
sl,placilo-z-nakazilom,placilo z nakazilom,informational,SI,getting-paid,claimed
sl,povzetje-za-male-prodajalce,povzetje za male prodajalce,informational,SI,shipping,claimed
sq,shitje-online-pa-faqe-interneti,shitje online pa faqe interneti,informational,AL,selling-channels,claimed
sq,pagesa-me-transferte-bankare,pagesa me transfertë bankare,informational,AL,getting-paid,claimed
sq,pagesa-ne-dorezim,pagesa ne dorezim,informational,AL,shipping,claimed
sr,prodaja-onlajn-bez-sajta,prodaja onlajn bez sajta,informational,RS,selling-channels,claimed
sr,placanje-uplatom-na-racun,placanje uplatom na racun,informational,RS,getting-paid,claimed
sr,troskovi-dostave-za-prodavce,troskovi dostave za prodavce,informational,RS,shipping,claimed
sv,salj-online-utan-hemsida,salj online utan hemsida,informational,SE,selling-channels,claimed
sv,betalning-via-bankoverforing,betalning via bankoverforing,informational,SE,getting-paid,claimed
sv,fraktkostnader-for-sma-saljare,fraktkostnader for sma saljare,informational,SE,shipping,claimed
